SKU,brand,group,sub_group,color,size,gender
mt-jac-lt-gy-s-b,Mammut,Jackets,leather,grey,Small,boys
gm-jac-sf-gr-m-b,Garmont,Jackets,softshell,green,Medium,boys
cl-jac-lt-yw-l-b,Columbia,Jackets,leather,yellow,Large,boys
nf-jac-sf-bl-xl-b,North face,Jackets,softshell,blue,XLarge,boys
pg-jac-lt-wh-s-b,Patagonia,Jackets,leather,white,Small,boys
mt-jac-sf-wh-m-b,Mammut,Jackets,softshell,white,Medium,boys
gm-jac-lt-wh-l-b,Garmont,Jackets,leather,white,Large,boys
cl-jac-sf-wh-xl-b,Columbia,Jackets,softshell,white,XLarge,boys
nf-shr-ss-bk-s-g,North face,Shirts,short sleeve,Black,Small,girls
pg-shr-ls-rd-m-g,Patagonia,Shirts,long sleeve,red,Medium,girls
mt-shr-uv-gy-l-g,Mammut,Shirts,UV_protection,grey,Large,girls
gm-shr-ls-gr-xl-g,Garmont,Shirts,long sleeve,green,XLarge,girls
cl-shr-ss-yw-s-g,Columbia,Shirts,short sleeve,yellow,Small,girls
nf-shr-ls-bl-m-g,North face,Shirts,long sleeve,blue,Medium,girls
pg-shr-ss-bk-l-g,Patagonia,Shirts,short sleeve,black,Large,girls
mt-shr-ls-rd-xl-g,Mammut,Shirts,long sleeve,red,XLarge,girls
gm-shr-uv-gy-s-g,Garmont,Shirts,UV_protection,grey,Small,girls
cl-shr-ls-gr-m-g,Columbia,Shirts,long sleeve,green,Medium,girls
nf-pan-hi-yw-l-g,North face,Pants,hiking,yellow,Large,girls
pg-pan-je-bl-xl-g,Patagonia,Pants,jeans,blue,XLarge,girls
mt-pan-hi-bk-s-g,Mammut,Pants,hiking,black,Small,girls
gm-pan-je-rd-m-g,Garmont,Pants,jeans,red,Medium,girls
cl-pan-hi-gy-l-g,Columbia,Pants,hiking,grey,Large,girls
nf-pan-je-gr-xl-g,North face,Pants,jeans,green,XLarge,girls
pg-pan-hi-yw-s-g,Patagonia,Pants,hiking,yellow,Small,girls
mt-pan-je-bl-m-g,Mammut,Pants,jeans,blue,Medium,girls
gm-pan-hi-bk-l-g,Garmont,Pants,hiking,black,Large,girls
cl-pan-je-rd-xl-g,Columbia,Pants,jeans,red,XLarge,girls
nf-sho-gt-gy-s-g,North face,Shoes,gore-tex,grey,Small,girls
pg-sho-lt-gr-m-g,Patagonia,Shoes,leather,green,Medium,girls
mt-sho-gt-yw-l-g,Mammut,Shoes,gore-tex,yellow,Large,girls
gm-sho-lt-bl-xl-g,Garmont,Shoes,leather,blue,XLarge,girls
cl-sho-gt-bk-s-g,Columbia,Shoes,gore-tex,black,Small,girls
nf-sho-lt-rd-m-g,North face,Shoes,leather,red,Medium,girls
pg-sho-gt-gy-l-g,Patagonia,Shoes,gore-tex,grey,Large,girls
mt-sho-lt-gr-xl-g,Mammut,Shoes,leather,green,XLarge,girls
gm-sho-gt-yw-s-g,Garmont,Shoes,gore-tex,yellow,Small,girls
cl-sho-lt-bl-m-g,Columbia,Shoes,leather,blue,Medium,girls
nf-jac-lt-bk-l-g,North face,Jackets,leather,black,Large,girls
pg-jac-sf-rd-xl-g,Patagonia,Jackets,softshell,red,XLarge,girls
mt-jac-lt-gy-s-g,Mammut,Jackets,leather,grey,Small,girls
gm-jac-sf-gr-m-g,Garmont,Jackets,softshell,green,Medium,girls
cl-jac-lt-yw-l-g,Columbia,Jackets,leather,yellow,Large,girls
nf-jac-sf-bl-xl-g,North face,Jackets,softshell,blue,XLarge,girls
pg-jac-lt-wh-s-g,Patagonia,Jackets,leather,white,Small,girls
mt-jac-sf-wh-m-g,Mammut,Jackets,softshell,white,Medium,girls
gm-jac-lt-wh-l-g,Garmont,Jackets,leather,white,Large,girls
cl-jac-sf-wh-xl-g,Columbia,Jackets,softshell,white,XLarge,girls
